time,open,high,low,close,volume
2015-10-02,1.5127,1.5238,1.5124,1.5182,0
2015-10-05,1.5178,1.5244,1.5135,1.5144,0
2015-10-06,1.5149,1.5248,1.5143,1.5227,0
2015-10-07,1.5229,1.5343,1.5223,1.5318,0
2015-10-08,1.5319,1.5377,1.5263,1.5349,0
2015-10-09,1.5347,1.5384,1.5298,1.5304,0
2015-10-12,1.5318,1.5374,1.531,1.5345,0
2015-10-13,1.5351,1.5391,1.5202,1.5248,0
2015-10-14,1.525,1.5499,1.5249,1.5477,0
2015-10-15,1.5478,1.5513,1.5418,1.5457,0
2015-10-16,1.5454,1.5486,1.5429,1.5436,0
2015-10-19,1.5435,1.5501,1.5429,1.5465,0
2015-10-20,1.5464,1.5505,1.5432,1.5441,0
2015-10-21,1.5444,1.548,1.5412,1.5419,0
2015-10-22,1.5419,1.5509,1.537,1.5394,0
2015-10-23,1.5393,1.542,1.5303,1.5314,0
2015-10-26,1.5308,1.5382,1.5302,1.535,0
2015-10-27,1.5353,1.536,1.5282,1.5297,0
2015-10-28,1.5298,1.5347,1.5246,1.5261,0
2015-10-29,1.5264,1.5326,1.5244,1.5311,0
2015-10-30,1.531,1.5468,1.5303,1.5429,0
2015-11-02,1.545,1.5499,1.5402,1.5417,0
2015-11-03,1.5417,1.5448,1.536,1.5421,0
2015-11-04,1.5419,1.5444,1.5357,1.5383,0
2015-11-05,1.5385,1.5402,1.5202,1.5206,0
2015-11-06,1.5207,1.5222,1.5026,1.505,0
2015-11-09,1.5048,1.5128,1.5039,1.5115,0
2015-11-10,1.5113,1.5146,1.509,1.5117,0
2015-11-11,1.5122,1.5226,1.5118,1.5212,0
2015-11-12,1.5208,1.5246,1.5172,1.5231,0
2015-11-13,1.5233,1.5266,1.5188,1.5233,0
2015-11-16,1.5236,1.5229,1.518,1.5199,0
2015-11-17,1.5202,1.524,1.5156,1.5215,0
2015-11-18,1.521,1.5249,1.5186,1.5237,0
2015-11-19,1.5236,1.5336,1.5223,1.529,0
2015-11-20,1.5292,1.5312,1.5183,1.5192,0
2015-11-23,1.5189,1.5198,1.5107,1.5124,0
2015-11-24,1.5126,1.5159,1.5055,1.5087,0
2015-11-25,1.5078,1.5137,1.5055,1.5128,0
2015-11-26,1.513,1.5133,1.5065,1.5102,0
2015-11-27,1.5103,1.5109,1.503,1.5038,0
2015-11-30,1.5038,1.5071,1.4994,1.5057,0
2015-12-01,1.5055,1.5126,1.5049,1.5081,0
2015-12-02,1.5083,1.5087,1.4897,1.4951,0
2015-12-03,1.4951,1.516,1.4905,1.5145,0
2015-12-04,1.5146,1.5158,1.5079,1.5112,0
2015-12-07,1.5098,1.5116,1.5041,1.5053,0
2015-12-08,1.5056,1.5062,1.4956,1.5008,0
2015-12-09,1.5008,1.5191,1.5002,1.5181,0
2015-12-10,1.5175,1.5202,1.5111,1.5159,0
2015-12-11,1.5162,1.524,1.5126,1.5217,0
2015-12-14,1.5217,1.5232,1.5107,1.5142,0
2015-12-15,1.5142,1.5186,1.5026,1.5035,0
2015-12-16,1.5038,1.5101,1.4966,1.5004,0
2015-12-17,1.5,1.5004,1.4863,1.4901,0
2015-12-18,1.4903,1.4951,1.4886,1.4895,0
2015-12-21,1.4903,1.4935,1.4882,1.4885,0
2015-12-22,1.4881,1.4908,1.4803,1.4825,0
2015-12-23,1.4831,1.4904,1.4819,1.4872,0
2015-12-24,1.4871,1.4947,1.4863,1.4917,0
2015-12-25,1.4915,1.4948,1.4879,1.4933,0
2015-12-28,1.491,1.4935,1.4871,1.4877,0
2015-12-29,1.4877,1.4915,1.4784,1.4812,0
2015-12-30,1.4815,1.4852,1.4794,1.4817,0
2015-12-31,1.4813,1.4845,1.4723,1.4739,0
2016-01-01,1.4739,1.4753,1.4739,1.4748,0
2016-01-04,1.4748,1.4815,1.4663,1.4718,0
2016-01-05,1.4712,1.4726,1.4637,1.4672,0
2016-01-06,1.4675,1.4683,1.4601,1.4627,0
2016-01-07,1.463,1.4642,1.4533,1.4617,0
2016-01-08,1.4617,1.4646,1.4506,1.452,0
2016-01-11,1.4526,1.4608,1.4497,1.4544,0
2016-01-12,1.4539,1.456,1.435,1.4444,0
2016-01-13,1.4444,1.4476,1.4379,1.4407,0
2016-01-14,1.4404,1.4446,1.4359,1.4414,0
2016-01-15,1.4416,1.4431,1.4251,1.4258,0
2016-01-18,1.4262,1.4325,1.4236,1.4244,0
2016-01-19,1.4242,1.4341,1.4129,1.4158,0
2016-01-20,1.4154,1.422,1.4124,1.4191,0
2016-01-21,1.4189,1.4249,1.408,1.4218,0
2016-01-22,1.4222,1.4364,1.4204,1.4265,0
2016-01-25,1.427,1.4311,1.4223,1.4249,0
2016-01-26,1.4249,1.4368,1.4173,1.4352,0
2016-01-27,1.4352,1.4358,1.423,1.4234,0
2016-01-28,1.4236,1.4412,1.4234,1.4362,0
2016-01-29,1.4362,1.4415,1.415,1.4247,0
2016-02-01,1.4243,1.4448,1.4228,1.4433,0
2016-02-02,1.4434,1.4447,1.4326,1.4411,0
2016-02-03,1.4414,1.4653,1.4386,1.4604,0
2016-02-04,1.4602,1.467,1.4529,1.4589,0
2016-02-05,1.459,1.4594,1.4453,1.4503,0
2016-02-08,1.4501,1.4547,1.4352,1.4432,0
2016-02-09,1.443,1.4517,1.4378,1.4473,0
2016-02-10,1.4468,1.4579,1.4448,1.4522,0
2016-02-11,1.4522,1.4565,1.4384,1.4477,0
2016-02-12,1.4479,1.4572,1.4444,1.4507,0
2016-02-15,1.4501,1.4537,1.4413,1.4435,0
2016-02-16,1.4438,1.4518,1.4279,1.4305,0
2016-02-17,1.4303,1.4341,1.4236,1.4297,0
2016-02-18,1.4299,1.4398,1.4259,1.4337,0
2016-02-19,1.4333,1.4411,1.4248,1.4406,0
2016-02-22,1.431,1.432,1.4058,1.415,0
2016-02-23,1.4149,1.4156,1.4005,1.4022,0
2016-02-24,1.4022,1.4029,1.3877,1.3927,0
2016-02-25,1.3924,1.3997,1.3898,1.3963,0
2016-02-26,1.3962,1.4045,1.3855,1.387,0
2016-02-29,1.3869,1.3947,1.3834,1.3916,0
2016-03-01,1.3918,1.4019,1.3904,1.3948,0
2016-03-02,1.3948,1.4094,1.3914,1.4078,0
2016-03-03,1.4078,1.4196,1.4032,1.4179,0
2016-03-04,1.4179,1.4249,1.4108,1.4228,0
2016-03-07,1.4234,1.4284,1.4135,1.4265,0
2016-03-08,1.4266,1.4276,1.4173,1.4216,0
2016-03-09,1.4217,1.4244,1.4177,1.4217,0
2016-03-10,1.422,1.4322,1.4121,1.428,0
2016-03-11,1.4281,1.4438,1.4254,1.4387,0
2016-03-14,1.4384,1.4391,1.4291,1.4302,0
2016-03-15,1.4301,1.4309,1.4139,1.4153,0
2016-03-16,1.415,1.4274,1.4053,1.4259,0
2016-03-17,1.4258,1.4503,1.422,1.4479,0
2016-03-18,1.4482,1.4516,1.4411,1.448,0
2016-03-21,1.448,1.448,1.4364,1.4367,0
2016-03-22,1.4368,1.4398,1.419,1.4208,0
2016-03-23,1.4207,1.4228,1.4082,1.4117,0
2016-03-24,1.4114,1.4184,1.4057,1.4154,0
2016-03-25,1.4153,1.4159,1.4108,1.4143,0
2016-03-28,1.4129,1.4282,1.4118,1.4254,0
2016-03-29,1.4257,1.4409,1.4197,1.4385,0
2016-03-30,1.438,1.446,1.436,1.4378,0
2016-03-31,1.438,1.4428,1.4327,1.4362,0
2016-04-01,1.4365,1.4379,1.4176,1.4226,0
2016-04-04,1.4219,1.4322,1.4189,1.4263,0
2016-04-05,1.4263,1.4281,1.4122,1.4161,0
2016-04-06,1.416,1.4171,1.4005,1.4121,0
2016-04-07,1.412,1.4159,1.4046,1.4057,0
2016-04-08,1.406,1.4144,1.4042,1.4126,0
2016-04-11,1.4124,1.4286,1.4104,1.4241,0
2016-04-12,1.424,1.4349,1.4196,1.4275,0
